"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 06 04:40:54 UTC 2023","Thu Jul 06 04:40:54 UTC 2023","587","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Thu Jul 06 04:39:01 UTC 2023","Thu Jul 06 04:39:12 UTC 2023","10470","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Thu Jul 06 04:17:55 UTC 2023","Thu Jul 06 04:17:56 UTC 2023","577","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Thu Jul 06 04:33:50 UTC 2023","Thu Jul 06 04:33:53 UTC 2023","3117","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Thu Jul 06 04:13:59 UTC 2023","Thu Jul 06 04:14:05 UTC 2023","6234","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Thu Jul 06 04:47:53 UTC 2023","Thu Jul 06 04:47:54 UTC 2023","253","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Thu Jul 06 04:47:36 UTC 2023","Thu Jul 06 04:47:37 UTC 2023","1179","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Thu Jul 06 04:38:14 UTC 2023","Thu Jul 06 04:38:32 UTC 2023","18126","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Thu Jul 06 04:38:45 UTC 2023","Thu Jul 06 04:38:48 UTC 2023","2627","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Thu Jul 06 04:18:39 UTC 2023","Thu Jul 06 04:18:50 UTC 2023","11309","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Thu Jul 06 04:40:35 UTC 2023","Thu Jul 06 04:40:50 UTC 2023","15220","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Thu Jul 06 04:14:49 UTC 2023","Thu Jul 06 04:14:52 UTC 2023","2591","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Thu Jul 06 04:34:05 UTC 2023","Thu Jul 06 04:34:06 UTC 2023","696","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Thu Jul 06 04:47:54 UTC 2023","Thu Jul 06 04:48:02 UTC 2023","8047","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Thu Jul 06 04:34:06 UTC 2023","Thu Jul 06 04:34:42 UTC 2023","35905","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Thu Jul 06 04:38:35 UTC 2023","Thu Jul 06 04:38:45 UTC 2023","9983","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Thu Jul 06 04:13:54 UTC 2023","Thu Jul 06 04:13:56 UTC 2023","2030","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Thu Jul 06 04:47:18 UTC 2023","Thu Jul 06 04:47:36 UTC 2023","18058","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Thu Jul 06 04:39:18 UTC 2023","Thu Jul 06 04:39:26 UTC 2023","7146","","6. Company Account","","","","2. Create a Company Account",""
"passed","Thu Jul 06 04:40:18 UTC 2023","Thu Jul 06 04:40:20 UTC 2023","1825","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Thu Jul 06 04:31:59 UTC 2023","Thu Jul 06 04:32:04 UTC 2023","4479","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Thu Jul 06 04:42:34 UTC 2023","Thu Jul 06 04:42:44 UTC 2023","9664","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Thu Jul 06 04:30:47 UTC 2023","Thu Jul 06 04:31:07 UTC 2023","19648","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Thu Jul 06 04:48:05 UTC 2023","Thu Jul 06 04:48:06 UTC 2023","1059","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
